patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0015ceb851d7251b8f399e39779d1e7d_1.npy,8.3374786377,0.420895308256,0.42865216732,0.687167823315,0.95874363184,0.0356159321964,0.0447840839624,0.0945753753185,0.748031497002,0.40000000596,0.268041223288,0.189487099648,0.229139700532,0.165480077267,0.030303030303,0.0,0.492005079985,0.030303030303
0030a160d58723ff36d73f41b170ec21_0.npy,11.5171613693,0.482778310776,0.580416440964,0.824312388897,2.14470100403,0.0530113242567,0.0732717216015,0.0914711803198,0.334545463324,0.219594597816,0.49848023057,0.128243252635,0.194677054882,0.135304838419,0.0454545454545,0.0454545454545,0.736321985722,0.0454545454545
003f41c78e6acfa92430a057ac0b306e_0.npy,12.7523298264,0.414920568466,0.336033910513,0.706740379333,2.01650977135,0.0381220281124,0.0381481945515,0.0688627064228,0.189473688602,0.546116530895,0.091954022646,0.1962813586,0.144915163517,0.182033613324,0.157894736842,0.0,0.62158626318,0.157894736842
006b96310a37b36cccb2ab48d10b49a3_1.npy,19.1961154938,0.58404904604,0.675300598145,0.970186710358,3.35132622719,0.062438134104,0.0850550308824,0.0916519984603,0.442906588316,0.295857995749,0.5,0.125909224153,0.182010158896,0.243110582232,0.025,0.0,0.730885803699,0.025
008464bb8521d09a42985dd8add3d0d2_1.npy,10.1348342896,0.382314115763,0.334637016058,0.75091189146,2.10487532616,0.0445398129523,0.0313455015421,0.0830172300339,0.555555582047,0.190082639456,0.22068965435,0.140080660582,0.292192876339,0.217275604606,0.333333333333,0.0,0.64639544487,0.666666666667
0092c13f9e00a3717fdc940641f00015_0.npy,16.8342113495,0.494278520346,0.409679740667,0.847909152508,2.83457016945,0.0545237772167,0.041625123471,0.0777401477098,0.250980407,0.399408280849,0.5,0.205288752913,0.252298533916,0.187495067716,0.0192307692308,0.0,0.607052743435,0.0192307692308
00986bebc45e12038ef0ce3e9962b51a_0.npy,7.82557439804,0.358511537313,0.31840762496,0.553293287754,0.944868147373,0.0241684447974,0.0219280906022,0.0090397419408,0.874015748501,0.498533725739,0.330065369606,0.0,0.0470022037625,0.0539188161492,0.333333333333,0.0,0.542013406754,0.333333333333
00cba091fa4ad62cc3200a657aeb957e_0.npy,10.3219900131,0.446663856506,0.333803087473,0.715708434582,1.64931964874,0.0370313189924,0.0185927841812,0.0653386190534,0.66015625,0.105610564351,0.801801800728,0.160103917122,0.282700896263,0.142617166042,0.0434782608696,0.0,0.620977878571,0.0434782608696
00edff4f51a893d80dae2d42a7f45ad1_1.npy,7.52645730972,0.365525335073,0.403336524963,0.626423835754,1.08993935585,0.0324230380356,0.0474061630666,0.0301526039839,0.444805204868,0.0941176488996,0.601190447807,0.164672732353,0.16139960289,0.186813190579,0.0769230769231,0.0,0.590199351311,0.0769230769231
0121c2845f2b7df060945b072b2515d7_0.npy,7.025806427,0.372965931892,0.319258719683,0.675494968891,0.987570345402,0.0316065475345,0.0212519299239,0.0422303006053,0.399399399757,0.704142034054,0.0935672521591,0.207293570042,0.227027356625,0.140164628625,0.0588235294118,0.0588235294118,0.586456894875,0.0588235294118
